triangle_pos,triangle_color,pink_circle_pos,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.06315266701858491,0.08303825004259124,1.9924689590116031,20.255088459001854,space,18.25784062501043,None,,,,,,,,,,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
,,,,,,,,,,,,,,,,,,,,,,20.25523962499574,20.285381334018894,21.253793167008553,22.228882291994523,space,0.9721667919657193,None,,,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,0,0,0,8,,,,,22.387864249991253,,,,,,,,,,,,,,,,22.34603979199892,23.88193716702517,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.1875, -0.1875)",p,0.0,,,0,1,1,3,,,,,23.892374709015712,,,,,,,,,,,,,,,,23.882121417031158,24.954940041992813,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,0,2,2,7,,,,,24.962996750022285,,,,,,,,,,,,,,,,24.955097416997887,25.925087000010535,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.25, 0)",p,0.0,,,0,3,3,5,,,,,25.931854750029743,,,,,,,,,,,,,,,,25.925241042044945,26.89347758400254,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",g,0.0,,,0,4,4,2,,,,,26.89999633404659,,,,,,,,,,,,,,,,26.89363729202887,27.862013792037033,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.1875, -0.1875)",p,0.0,,,0,5,5,4,,,,,27.86874137504492,,,,,,,,,,,,,,,,27.86218216700945,29.444696500024293,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.1875, 0.1875)",g,0.0,,,0,6,6,1,,,,,29.45156641700305,,,,,,,,,,,,,,,,29.44485650002025,30.41327020904282,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,0,7,7,6,,,,,30.41982958401786,,,,,,,,,,,,,,,,30.41342325002188,31.48165166703984,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0, 0.25)",g,0.0,,,0,8,8,0,,,,,31.488406541990116,,,,,,,,,,,,,,,,31.481810334022157,32.65397074999055,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.1875, -0.1875)",p,0.0,,,1,0,9,4,,,,,32.66120579204289,,,,,,,,,,,,,,,,32.6542351670214,33.62360250001075,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.1875, 0.1875)",g,0.0,,,1,1,10,1,,,,,33.62998783402145,,,,,,,,,,,,,,,,33.623757209046744,34.69283387501491,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",g,0.0,,,1,2,11,2,,,,,34.699490208993666,,,,,,,,,,,,,,,,34.69299479201436,35.76141600002302,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,1,3,12,6,,,,,35.76794129202608,,,,,,,,,,,,,,,,35.76158425002359,36.83003329200437,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,1,4,13,7,,,,,36.837025209038984,,,,,,,,,,,,,,,,36.83019425004022,37.99892770900624,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0, 0.25)",g,0.0,,,1,5,14,0,,,,,38.005555500043556,,,,,,,,,,,,,,,,37.99908887501806,38.967169625044335,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.1875, -0.1875)",p,0.0,,,1,6,15,3,,,,,38.97347212501336,,,,,,,,,,,,,,,,38.96732537500793,40.03529862500727,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.25, 0)",p,0.0,,,1,7,16,5,,,,,40.04236754204612,,,,,,,,,,,,,,,,40.03551104199141,41.00421829201514,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,1,8,17,8,,,,,41.0111808340298,,,,,,,,,,,,,,,,41.00437675003195,42.27455100003863,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.1875, -0.1875)",p,0.0,,,2,0,18,4,,,,,42.28113175003091,,,,,,,,,,,,,,,,42.2747013749904,43.34334487502929,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.1875, -0.1875)",p,0.0,,,2,1,19,3,,,,,43.35009424999589,,,,,,,,,,,,,,,,43.34350875002565,44.41208929201821,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",g,0.0,,,2,2,20,2,,,,,44.41848691704217,,,,,,,,,,,,,,,,44.41224900004454,45.58080454199808,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.1875, 0.1875)",g,0.0,,,2,3,21,1,,,,,45.58744716702495,,,,,,,,,,,,,,,,45.58096629200736,46.54949649999617,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,2,4,22,6,,,,,46.55576362501597,,,,,,,,,,,,,,,,46.54964933404699,47.717736584017985,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,2,5,23,7,,,,,47.724465125007555,,,,,,,,,,,,,,,,47.71788870904129,48.786332999996375,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.25, 0)",p,0.0,,,2,6,24,5,,,,,48.7933130839956,,,,,,,,,,,,,,,,48.78653179202229,49.75932712503709,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,2,7,25,8,,,,,49.766061042028014,,,,,,,,,,,,,,,,49.75949995900737,51.22898700000951,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0, 0.25)",g,0.0,,,2,8,26,0,,,,,51.23848620901117,,,,,,,,,,,,,,,,51.22914558404591,52.20137004199205,,,,,,,,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.20149958401453,52.20938037504675,53.19506891700439,53.51335212500999,space,0.3137702090316452,None,,,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",r,,"(-0.1875, 0.1875)",0.0,,,,,0,0,0,26,53.58793141704518,,,,,,,,,,,,,,,,,,,,,,,,,53.57924383401405,55.15177404199494,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",g,,0.0,0.0,,,,,0,1,1,2,55.161301792017184,,,,,,,,,,,,,,,,,,,,,,,,,55.151927417027764,56.52431687503122,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",b,,0.0,0.0,,,,,0,2,2,42,56.531379833992105,,,,,,,,,,,,,,,,,,,,,,,,,56.52447312499862,58.3946252920432,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0, 0.25)",r,,"(-0.1875, -0.1875)",0.0,,,,,0,3,3,24,58.40273470903048,,,,,,,,,,,,,,,,,,,,,,,,,58.39478291699197,59.66484725003829,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0, -0.25)",g,,0.0,0.0,,,,,0,4,4,4,59.671698249992914,,,,,,,,,,,,,,,,,,,,,,,,,59.66500062501291,61.03546208399348,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.1875, 0.1875)",g,,0.0,"(0.25, 0)",,,,,0,5,5,39,61.04275337501895,,,,,,,,,,,,,,,,,,,,,,,,,61.035729333991185,62.70603266701801,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",g,,"(-0.1875, 0.1875)",0.0,,,,,0,6,6,10,62.713328334037215,,,,,,,,,,,,,,,,,,,,,,,,,62.70620120904641,64.27617229201132,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.1875, 0.1875)",g,,"(0, -0.25)",0.0,,,,,0,7,7,9,64.28407629200956,,,,,,,,,,,,,,,,,,,,,,,,,64.2763371670153,65.75928795902291,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.25, 0)",b,,0.0,"(0.1875, -0.1875)",,,,,0,8,8,54,65.76626716699684,,,,,,,,,,,,,,,,,,,,,,,,,65.75945083401166,67.4310887500178,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0, -0.25)",g,,0.0,"(0.1875, 0.1875)",,,,,0,9,9,36,67.44196000002557,,,,,,,,,,,,,,,,,,,,,,,,,67.43125708401203,69.00775900000008,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.25, 0)",g,,0.0,"(-0.1875, 0.1875)",,,,,0,10,10,34,69.01821912499145,,,,,,,,,,,,,,,,,,,,,,,,,69.00792883400572,70.38121537503321,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(0.1875, 0.1875)",r,,0.0,0.0,,,,,0,11,11,17,70.39224404201377,,,,,,,,,,,,,,,,,,,,,,,,,70.38138454203727,71.55502337502548,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.1875, -0.1875)",g,,"(0, 0.25)",0.0,,,,,0,12,12,13,71.56176300003426,,,,,,,,,,,,,,,,,,,,,,,,,71.55518104200019,72.92520091700135,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.25, 0)",g,,0.0,"(0.1875, -0.1875)",,,,,0,13,13,38,72.93307937501231,,,,,,,,,,,,,,,,,,,,,,,,,72.92535304202465,74.09582625003532,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
"(-0.1875, -0.1875)",r,,"(0, 0.25)",0.0,,,,,0,14,14,29,74.10230675002094,,,,,,,,,,,,,,,,,,,,,,,,,74.09597691701492,75.36558687500656,,,,,,,,281187,001,2024-05-08_20h51.42.724,creatingimagesNEW,2024.1.4,None,2024-05-08 20h51.52.402058 -0400,
